name,distance,geocodes.main.latitude,geocodes.main.longitude,location.formatted_address
Jobcentre Plus,705,51.506827,-0.58443,"Upton Lodge, 2a, Yew Tree Rd (Upton Lodge, 2a), Slough, Berkshire, SL1 2AQ"
Century Recruitment,52,51.511589,-0.592215,"1 Brunel Way, Slough, SL1 1FQ"
Century Recruitment,263,51.513558,-0.59296,"Abbey House, 18-24, Stoke Rd, Slough, SL2 5AG"
Oracle Medical Care Uk Limited,269,51.509343,-0.593744,"7 Mackenzie St, Slough, SL1 1XQ"
Peach Personnel Services,297,51.509412,-0.594528,"129-133 High St, Slough, SL1 1DH"
Michael Page International Recruitment Limited,304,51.508694,-0.590465,"Wellington House, Slough, SL1 1DB"
Equator Consultancy,372,51.514106,-0.588504,"Brooklands House, Petersfield Ave, Slough, SL2 5DY"
Slough Connexions Centre,409,51.509885,-0.596997,"48 High St, Slough, SL1 1EL"
Jobdarn,423,51.512404,-0.585672,"Albion House, 6 Albion, Slough, SL2 5DT"
Darn,436,51.507591,-0.58975,"218 High St, Slough, SL1 1JS"
