name,review_count,rating,coordinates.latitude,coordinates.longitude,location.address1
Fox & Pheasant,3,4.5,51.5555196,-0.5843764,Gerrards Cross Road
Tummies Bistro,18,4.5,51.5206703511754,-0.645485974178728,5 Station Road
Artigiani Del Cibo,2,5.0,51.5335629,-0.6586815,59-61 High Street
The Fat Duck,87,5.0,51.507909,-0.701777,High Street
Steakout,6,4.0,51.50765,-0.586047,295-297 High Street
Caldesi In Campagna,10,4.5,51.50826,-0.697951,Old Mill Lane
Burnham Fish and Chips,1,5.0,51.5274048,-0.6490517,164 Burnham Lane
La Cantina Del Vino,1,4.0,51.5554528,-0.6155812,The Broadway
Panjab Restaurant,1,4.0,51.5005104,-0.5642902,118 London Road
The Hinds Head,44,4.5,51.5082016668704,-0.702101024188096,High Street
The Kais,1,5.0,51.5200018,-0.647763,467 Bath Road
The Waterside Inn,28,4.5,51.5090247250808,-0.699588298797607,Ferry Road
The Foresters Arms,1,4.0,51.5568552,-0.615553,The Broadway
Dorney Court Kitchen Garden,1,5.0,51.5024139724885,-0.665407106280327,Court Lane Dorney
Mori Japanese Restaurant,2,4.5,51.5097564,-0.5966022,70 High Street
The Crown at Bray,22,4.0,51.506771,-0.701356,High Street
The Greene Oak,6,4.0,51.4934097,-0.6894592,Oakley Green
The Chip Box,2,4.5,51.5140457,-0.5932932,39 Stoke Road
The Red Lion,9,4.0,51.5314335,-0.5832705,Stoke Green
Pla Tong,4,4.0,51.479487,-0.512625,Bath Road
